AchievementUI,39084,"狩猎"
AchievementUI,39206,"288.3k"
AchievementUI,39128,"王朝副本挑战次数达到5"
AchievementUI,39132,"4/5"
AchievementUI,39166,"已完成"
AchievementUI,39176,"领取"
AchievementUI,39170,"领取"
ArenaRankPanelUI,39356,"排行榜"
ArenaRankPanelUI,39566,"5"
ArenaRankPanelUI,39582,"君主"
ArenaRankPanelUI,39590,"君主"
ArenaRankPanelUI,39626,"5000"
ArenaRankPanelUI,39610,"New Text"
ArenaRankPanelUI,39622,"New Text"
ArenaRankPanelUI,39440,"排名"
ArenaRankPanelUI,39444,"君主"
ArenaRankPanelUI,39336,"当前无人上榜"
ArenaRankPanelUI,39514,"New Text"
ArenaRankPanelUI,39510,"5000"
ArenaRankPanelUI,39494,"New Text"
ArenaRankPanelUI,39502,"New Text"
ArenaRankPanelUI,39498,"5000"
ArenaRankPanelUI,39506,"New Text"
ArenaRankPanelUI,39388,"我的排名："
ArenaRankPanelUI,39436,"1000"
ArenaRankPanelUI,39370,"我的排名："
ArenaRankPanelUI,39432,"1000"
ArenaRankPanelUI,39346,"排名奖励"
ArenaRankPanelUI,39342,"排名奖励"
ArenaRankUpUI,39714,"New Text"
ArenaRankUpUI,39730,"排名突破："
ArenaRankUpUI,39734,"300名"
ArenaRankUpUI,39710,"突破奖励："
ArenaRankUpUI,39726,"100"
ArenaUI,40364,"产出总览"
ArenaUI,40164,"罪犯详情"
ArenaUI,40184,"New Text"
ArenaUI,40224,"99999"
ArenaUI,40354,"产出总览"
ArenaUI,40140,"罪犯详情"
ArenaUI,40160,"New Text"
ArenaUI,40204,"99999"
ArenaUI,40018,"New Text"
ArenaUI,40008,"罪犯详情"
ArenaUI,40024,"21141"
ArenaUI,40036,"罪犯详情"
ArenaUI,40074,"New Text"
ArenaUI,40220,"272727"
ArenaUI,40172,"272727"
ArenaUI,40044,"阵容"
ArenaUI,40058,"New Text"
ArenaUI,40064,"狩猎"
ArenaUI,40338,"288.3k"
ArenaUseVitalityUI,40558,"物品使用"
ArenaUseVitalityUI,40574,"New Text"
ArenaUseVitalityUI,40600,"New Text"
ArenaUseVitalityUI,40666,"不再提示"
ArenaUseVitalityUI,40650,"确定"
ArenaUseVitalityUI,40656,"+10"
ArenaUseVitalityUI,40642,"-10"
ArenaUseVitalityUI,40638,"99"
ArenaUseVitalityUI,40660,"取消"
ArenReportUI,40928,"扫荡结束"
ArenReportUI,40974,"第一波"
ArenReportUI,40852,"New Text"
ArenReportUI,40856,"New Text"
ArenReportUI,40954,"美金: "
ArenReportUI,40960,"10000"
ArenReportUI,40964,"第一波"
ArenReportUI,40950,"10000"
ArenReportUI,40922,"美金: "
ArenReportUI,40918,"10000"
ArenReportUI,40968,"美金: "
ArenReportUI,40906,"10000"
ArenReportUI,40900,"美金: "
ArenReportUI,40988,"1000"
